today,fine
fine,originally
really,yes
yes,thing
yes,really
yes,like
yes,la
thing,weather,
thing,weather
thing,mainly,
thing,yeah
thing,main
thing,weather,
thing,sorry
really,weather,
really,weather
really,mainly,
really,yeah
really,main
really,weather,
really,sorry
like,weather,
like,weather
like,mainly,
like,yeah
like,main
like,weather,
like,sorry
la,weather,
la,weather
la,mainly,
la,yeah
la,main
la,weather,
la,sorry
weather,,thing
weather,,really
weather,,like
weather,,la
weather,thing
weather,really
weather,like
weather,la
mainly,,thing
mainly,,really
mainly,,like
mainly,,la
yeah,thing
yeah,really
yeah,like
yeah,la
main,thing
main,really
main,like
main,la
weather,,thing
weather,,really
weather,,like
weather,,la
sorry,thing
sorry,really
sorry,like
sorry,la
thing,people
thing,well
thing,people
thing,stuff
thing,like
thing,people
really,people
really,well
really,people
really,stuff
really,like
really,people
like,people
like,well
like,people
like,stuff
like,like
like,people
la,people
la,well
la,people
la,stuff
la,like
la,people
people,*laughter*
well,*laughter*
people,*laughter*
stuff,*laughter*
like,*laughter*
people,*laughter*
*laughter*,okay
*laughter*,i'm
*laughter*,cutting
okay,travel
okay,lot
i'm,travel
i'm,lot
cutting,travel
cutting,lot
travel,much
travel,used
lot,much
lot,used
um,enjoy
um,traveling
used,enjoy
used,traveling
school,enjoy
school,traveling
used,enjoy
used,traveling
travel,enjoy
travel,traveling
lot,enjoy
lot,traveling
place,enjoy
place,traveling
conference,enjoy
conference,traveling
thing,enjoy
thing,traveling
like,enjoy
like,traveling
i'm,enjoy
i'm,traveling
school,enjoy
school,traveling
right,enjoy
right,traveling
later,enjoy
later,traveling
i'll,enjoy
i'll,traveling
get,enjoy
get,traveling
back,enjoy
back,traveling
school,enjoy
school,traveling
i'll,enjoy
i'll,traveling
travel,enjoy
travel,traveling
right,enjoy
right,traveling
doubt,enjoy
doubt,traveling
enjoy,don't,
enjoy,enjoy
enjoy,traveling
traveling,don't,
traveling,enjoy
traveling,traveling
don't,,what'd
don't,,study
don't,,school
enjoy,what'd
enjoy,study
enjoy,school
traveling,what'd
traveling,study
traveling,school
what'd,uh
what'd,that's
what'd,good
what'd,question
what'd,actually
what'd,pretty
what'd,good
what'd,um
what'd,studied
what'd,physic
what'd,aerospace
what'd,engineering
what'd,physic
what'd,mainly
study,uh
study,that's
study,good
study,question
study,actually
study,pretty
study,good
study,um
study,studied
study,physic
study,aerospace
study,engineering
study,physic
study,mainly
school,uh
school,that's
school,good
school,question
school,actually
school,pretty
school,good
school,um
school,studied
school,physic
school,aerospace
school,engineering
school,physic
school,mainly
uh,still
uh,working
that's,still
that's,working
good,still
good,working
question,still
question,working
actually,still
actually,working
pretty,still
pretty,working
good,still
good,working
um,still
um,working
studied,still
studied,working
physic,still
physic,working
aerospace,still
aerospace,working
engineering,still
engineering,working
physic,still
physic,working
mainly,still
mainly,working
still,yes
still,actually
working,yes
working,actually
right,awesome
teach,awesome
community,awesome
college,awesome
physic,awesome
astronomy,awesome
uh,awesome
still,awesome
research,awesome
physic,awesome
also,awesome
like,awesome
type,awesome
thing,awesome
i'm,awesome
going,awesome
back,awesome
grad,awesome
school,awesome
hopefully,awesome
that's,awesome
i'm,awesome
nervous,awesome
sometimes,awesome
questionnaire,awesome
awesome,impressive
impressive,what's
impressive,dream
impressive,job
what's,professor
what's,place
what's,like
what's,usc
what's,uc
what's,la
what's,like
what's,that,
what's,professor
what's,three
what's,hour
what's,work
what's,week
what's,grad
what's,student
what's,rest
dream,professor
dream,place
dream,like
dream,usc
dream,uc
dream,la
dream,like
dream,that,
dream,professor
dream,three
dream,hour
dream,work
dream,week
dream,grad
dream,student
dream,rest
job,professor
job,place
job,like
job,usc
job,uc
job,la
job,like
job,that,
job,professor
job,three
job,hour
job,work
job,week
job,grad
job,student
job,rest
professor,*laughter*
place,*laughter*
like,*laughter*
usc,*laughter*
uc,*laughter*
la,*laughter*
like,*laughter*
that,,*laughter*
professor,*laughter*
three,*laughter*
hour,*laughter*
work,*laughter*
week,*laughter*
grad,*laughter*
student,*laughter*
rest,*laughter*
*laughter*,actually
*laughter*,pretty
*laughter*,good
actually,who's
actually,someone
actually,that's
actually,positive
actually,influence
actually,life
pretty,who's
pretty,someone
pretty,that's
pretty,positive
pretty,influence
pretty,life
good,who's
good,someone
good,that's
good,positive
good,influence
good,life
who's,*sigh*
who's,there's
who's,lot
who's,people,
who's,first
who's,one
who's,guess
who's,physic
who's,teacher
who's,ap
who's,physic
who's,teacher
who's,high
who's,school
who's,even
who's,though
who's,led
who's,engineer
who's,instead
who's,physic
who's,major
who's,um
who's,still
who's,good
who's,influence
who's,told
who's,know,
who's,he's
who's,first
who's,one
who's,taught
who's,that,
who's,school
who's,grade
who's,learning
someone,*sigh*
someone,there's
someone,lot
someone,people,
someone,first
someone,one
someone,guess
someone,physic
someone,teacher
someone,ap
someone,physic
someone,teacher
someone,high
someone,school
someone,even
someone,though
someone,led
someone,engineer
someone,instead
someone,physic
someone,major
someone,um
someone,still
someone,good
someone,influence
someone,told
someone,know,
someone,he's
someone,first
someone,one
someone,taught
someone,that,
someone,school
someone,grade
someone,learning
that's,*sigh*
that's,there's
that's,lot
that's,people,
that's,first
that's,one
that's,guess
that's,physic
that's,teacher
that's,ap
that's,physic
that's,teacher
that's,high
that's,school
that's,even
that's,though
that's,led
that's,engineer
that's,instead
that's,physic
that's,major
that's,um
that's,still
that's,good
that's,influence
that's,told
that's,know,
that's,he's
that's,first
that's,one
that's,taught
that's,that,
that's,school
that's,grade
that's,learning
positive,*sigh*
positive,there's
positive,lot
positive,people,
positive,first
positive,one
positive,guess
positive,physic
positive,teacher
positive,ap
positive,physic
positive,teacher
positive,high
positive,school
positive,even
positive,though
positive,led
positive,engineer
positive,instead
positive,physic
positive,major
positive,um
positive,still
positive,good
positive,influence
positive,told
positive,know,
positive,he's
positive,first
positive,one
positive,taught
positive,that,
positive,school
positive,grade
positive,learning
influence,*sigh*
influence,there's
influence,lot
influence,people,
influence,first
influence,one
influence,guess
influence,physic
influence,teacher
influence,ap
influence,physic
influence,teacher
influence,high
influence,school
influence,even
influence,though
influence,led
influence,engineer
influence,instead
influence,physic
influence,major
influence,um
influence,still
influence,good
influence,influence
influence,told
influence,know,
influence,he's
influence,first
influence,one
influence,taught
influence,that,
influence,school
influence,grade
influence,learning
life,*sigh*
life,there's
life,lot
life,people,
life,first
life,one
life,guess
life,physic
life,teacher
life,ap
life,physic
life,teacher
life,high
life,school
life,even
life,though
life,led
life,engineer
life,instead
life,physic
life,major
life,um
life,still
life,good
life,influence
life,told
life,know,
life,he's
life,first
life,one
life,taught
life,that,
life,school
life,grade
life,learning
*sigh*,that's
*sigh*,good
*sigh*,hear
there's,that's
there's,good
there's,hear
lot,that's
lot,good
lot,hear
people,,that's
people,,good
people,,hear
first,that's
first,good
first,hear
one,that's
one,good
one,hear
guess,that's
guess,good
guess,hear
physic,that's
physic,good
physic,hear
teacher,that's
teacher,good
teacher,hear
ap,that's
ap,good
ap,hear
physic,that's
physic,good
physic,hear
teacher,that's
teacher,good
teacher,hear
high,that's
high,good
high,hear
school,that's
school,good
school,hear
even,that's
even,good
even,hear
though,that's
though,good
though,hear
led,that's
led,good
led,hear
engineer,that's
engineer,good
engineer,hear
instead,that's
instead,good
instead,hear
physic,that's
physic,good
physic,hear
major,that's
major,good
major,hear
um,that's
um,good
um,hear
still,that's
still,good
still,hear
good,that's
good,good
good,hear
influence,that's
influence,good
influence,hear
told,that's
told,good
told,hear
know,,that's
know,,good
know,,hear
he's,that's
he's,good
he's,hear
first,that's
first,good
first,hear
one,that's
one,good
one,hear
taught,that's
taught,good
taught,hear
that,,that's
that,,good
that,,hear
school,that's
school,good
school,hear
grade,that's
grade,good
grade,hear
learning,that's
learning,good
learning,hear
that's,okay
good,okay
hear,okay
okay,controlling
okay,temper
controlling,i'm
controlling,pretty
controlling,good
controlling,think
temper,i'm
temper,pretty
temper,good
temper,think
i'm,last
i'm,time
i'm,argued
i'm,someone
pretty,last
pretty,time
pretty,argued
pretty,someone
good,last
good,time
good,argued
good,someone
think,last
think,time
think,argued
think,someone
last,i'm
last,single
last,get
last,many
last,argument
last,um
last,probably
last,brother
last,about,
last,always
last,like
last,uh
last,play
last,video
last,game
last,together
last,know
last,i'm
last,pretty
last,old
last,play
last,video
last,game
last,they're
last,actually
last,pretty
last,good,
last,um
last,probably
last,something
last,like
last,getting
last,angry
last,trying
last,defend
last,right
last,that's
time,i'm
time,single
time,get
time,many
time,argument
time,um
time,probably
time,brother
time,about,
time,always
time,like
time,uh
time,play
time,video
time,game
time,together
time,know
time,i'm
time,pretty
time,old
time,play
time,video
time,game
time,they're
time,actually
time,pretty
time,good,
time,um
time,probably
time,something
time,like
time,getting
time,angry
time,trying
time,defend
time,right
time,that's
argued,i'm
argued,single
argued,get
argued,many
argued,argument
argued,um
argued,probably
argued,brother
argued,about,
argued,always
argued,like
argued,uh
argued,play
argued,video
argued,game
argued,together
argued,know
argued,i'm
argued,pretty
argued,old
argued,play
argued,video
argued,game
argued,they're
argued,actually
argued,pretty
argued,good,
argued,um
argued,probably
argued,something
argued,like
argued,getting
argued,angry
argued,trying
argued,defend
argued,right
argued,that's
someone,i'm
someone,single
someone,get
someone,many
someone,argument
someone,um
someone,probably
someone,brother
someone,about,
someone,always
someone,like
someone,uh
someone,play
someone,video
someone,game
someone,together
someone,know
someone,i'm
someone,pretty
someone,old
someone,play
someone,video
someone,game
someone,they're
someone,actually
someone,pretty
someone,good,
someone,um
someone,probably
someone,something
someone,like
someone,getting
someone,angry
someone,trying
someone,defend
someone,right
someone,that's
i'm,close
i'm,family
single,close
single,family
get,close
get,family
many,close
many,family
argument,close
argument,family
um,close
um,family
probably,close
probably,family
brother,close
brother,family
about,,close
about,,family
always,close
always,family
like,close
like,family
uh,close
uh,family
play,close
play,family
video,close
video,family
game,close
game,family
together,close
together,family
know,close
know,family
i'm,close
i'm,family
pretty,close
pretty,family
old,close
old,family
play,close
play,family
video,close
video,family
game,close
game,family
they're,close
they're,family
actually,close
actually,family
pretty,close
pretty,family
good,,close
good,,family
um,close
um,family
probably,close
probably,family
something,close
something,family
like,close
like,family
getting,close
getting,family
angry,close
angry,family
trying,close
trying,family
defend,close
defend,family
right,close
right,family
that's,close
that's,family
close,fairly
close,close
close,um,
close,see
close,pretty,
close,pretty
close,often
close,parent
close,see
close,couple
close,time
close,week,
close,they're
close,getting
close,older
close,i've
close,helping
close,grocery
close,thing
close,like
close,that,
close,brother
close,see,
close,amount
close,time
close,sister
close,tutor
close,kid
close,nephew
close,uh
close,see
close,'em
close,week
close,also
family,fairly
family,close
family,um,
family,see
family,pretty,
family,pretty
family,often
family,parent
family,see
family,couple
family,time
family,week,
family,they're
family,getting
family,older
family,i've
family,helping
family,grocery
family,thing
family,like
family,that,
family,brother
family,see,
family,amount
family,time
family,sister
family,tutor
family,kid
family,nephew
family,uh
family,see
family,'em
family,week
family,also
fairly,that's
fairly,good
close,that's
close,good
um,,that's
um,,good
see,that's
see,good
pretty,,that's
pretty,,good
pretty,that's
pretty,good
often,that's
often,good
parent,that's
parent,good
see,that's
see,good
couple,that's
couple,good
time,that's
time,good
week,,that's
week,,good
they're,that's
they're,good
getting,that's
getting,good
older,that's
older,good
i've,that's
i've,good
helping,that's
helping,good
grocery,that's
grocery,good
thing,that's
thing,good
like,that's
like,good
that,,that's
that,,good
brother,that's
brother,good
see,,that's
see,,good
amount,that's
amount,good
time,that's
time,good
sister,that's
sister,good
tutor,that's
tutor,good
kid,that's
kid,good
nephew,that's
nephew,good
uh,that's
uh,good
see,that's
see,good
'em,that's
'em,good
week,that's
week,good
also,that's
also,good
that's,interesting
good,interesting
interesting,consider
interesting,introvert
consider,yes
introvert,yes
spend,relax
long,relax
period,relax
time,relax
math,relax
reading,,relax
talking,relax
anybody,relax
that's,relax
introverted,relax
relax,guess
relax,play
relax,video
relax,game
relax,work
relax,work
relax,think
relax,lot,
relax,try
relax,least
guess,annoyed
play,annoyed
video,annoyed
game,annoyed
work,annoyed
work,annoyed
think,annoyed
lot,,annoyed
try,annoyed
least,annoyed
annoyed,roll
annoyed,eye
annoyed,i've
annoyed,told
annoyed,bad
annoyed,thing,
annoyed,um,
annoyed,that's
annoyed,think
roll,think
roll,today's
roll,kid
eye,think
eye,today's
eye,kid
i've,think
i've,today's
i've,kid
told,think
told,today's
told,kid
bad,think
bad,today's
bad,kid
thing,,think
thing,,today's
thing,,kid
um,,think
um,,today's
um,,kid
that's,think
that's,today's
that's,kid
think,think
think,today's
think,kid
think,,
think,bad
think,parenting,
think,basically
think,parent
think,self-centered
think,unlike
think,previous
think,generation
think,kid
think,just,
think,want
think,parent
think,parent
think,parent
think,personal
think,personal
think,opinion
today's,,
today's,bad
today's,parenting,
today's,basically
today's,parent
today's,self-centered
today's,unlike
today's,previous
today's,generation
today's,kid
today's,just,
today's,want
today's,parent
today's,parent
today's,parent
today's,personal
today's,personal
today's,opinion
kid,,
kid,bad
kid,parenting,
kid,basically
kid,parent
kid,self-centered
kid,unlike
kid,previous
kid,generation
kid,kid
kid,just,
kid,want
kid,parent
kid,parent
kid,parent
kid,personal
kid,personal
kid,opinion
,,what's
,,one
,,memorable
,,experience
bad,what's
bad,one
bad,memorable
bad,experience
parenting,,what's
parenting,,one
parenting,,memorable
parenting,,experience
basically,what's
basically,one
basically,memorable
basically,experience
parent,what's
parent,one
parent,memorable
parent,experience
self-centered,what's
self-centered,one
self-centered,memorable
self-centered,experience
unlike,what's
unlike,one
unlike,memorable
unlike,experience
previous,what's
previous,one
previous,memorable
previous,experience
generation,what's
generation,one
generation,memorable
generation,experience
kid,what's
kid,one
kid,memorable
kid,experience
just,,what's
just,,one
just,,memorable
just,,experience
want,what's
want,one
want,memorable
want,experience
parent,what's
parent,one
parent,memorable
parent,experience
parent,what's
parent,one
parent,memorable
parent,experience
parent,what's
parent,one
parent,memorable
parent,experience
personal,what's
personal,one
personal,memorable
personal,experience
personal,what's
personal,one
personal,memorable
personal,experience
opinion,what's
opinion,one
opinion,memorable
opinion,experience
what's,*sigh*,
what's,um,
what's,guess,
what's,,
what's,um,
what's,,
one,*sigh*,
one,um,
one,guess,
one,,
one,um,
one,,
memorable,*sigh*,
memorable,um,
memorable,guess,
memorable,,
memorable,um,
memorable,,
experience,*sigh*,
experience,um,
experience,guess,
experience,,
experience,um,
experience,,
*sigh*,,awesome
um,,awesome
guess,,awesome
,,awesome
um,,awesome
,,awesome
awesome,thank
thank,would
thank,best
thank,friend
thank,describe
would,really
would,best
would,friend,
would,introverted
would,remember
best,really
best,best
best,friend,
best,introverted
