today,okay
okay,originally
originally,connecticut
connecticut,why'd
connecticut,move
connecticut,la
why'd,um,
why'd,actor
why'd,*laughter*
move,um,
move,actor
move,*laughter*
la,um,
la,actor
la,*laughter*
um,,decide
actor,decide
*laughter*,decide
decide,well
decide,moved
decide,san
decide,francisco
decide,ninety
decide,four
decide,moved
decide,atlanta
decide,ninety
decide,six
decide,moved
decide,actor
decide,became
decide,realtor
decide,instead
well,what's
well,dream
well,job
moved,what's
moved,dream
moved,job
san,what's
san,dream
san,job
francisco,what's
francisco,dream
francisco,job
ninety,what's
ninety,dream
ninety,job
four,what's
four,dream
four,job
moved,what's
moved,dream
moved,job
atlanta,what's
atlanta,dream
atlanta,job
ninety,what's
ninety,dream
ninety,job
six,what's
six,dream
six,job
moved,what's
moved,dream
moved,job
actor,what's
actor,dream
actor,job
became,what's
became,dream
became,job
realtor,what's
realtor,dream
realtor,job
instead,what's
instead,dream
instead,job
what's,um
what's,tv
what's,show
what's,actor
dream,um
dream,tv
dream,show
dream,actor
job,um
job,tv
job,show
job,actor
um,hard
tv,hard
show,hard
actor,hard
hard,pretty
hard,hard
hard,get
hard,discovered
hard,uh,
hard,lucky
hard,know
hard,right
hard,people
hard,talented
pretty,suck
hard,suck
get,suck
discovered,suck
uh,,suck
lucky,suck
know,suck
right,suck
people,suck
talented,suck
suck,*laughter*
suck,yeah
*laughter*,travel
*laughter*,lot
yeah,travel
yeah,lot
travel,really
travel,travel
travel,much
travel,used
travel,move
travel,um
travel,every
travel,couple
travel,year
travel,different
travel,city
travel,i've
travel,travel
travel,much
lot,really
lot,travel
lot,much
lot,used
lot,move
lot,um
lot,every
lot,couple
lot,year
lot,different
lot,city
lot,i've
lot,travel
lot,much
really,thing
really,really
really,like
really,la
travel,thing
travel,really
travel,like
travel,la
much,thing
much,really
much,like
much,la
used,thing
used,really
used,like
used,la
move,thing
move,really
move,like
move,la
um,thing
um,really
um,like
um,la
every,thing
every,really
every,like
every,la
couple,thing
couple,really
couple,like
couple,la
year,thing
year,really
year,like
year,la
different,thing
different,really
different,like
different,la
city,thing
city,really
city,like
city,la
i've,thing
i've,really
i've,like
i've,la
travel,thing
travel,really
travel,like
travel,la
much,thing
much,really
much,like
much,la
thing,weather,
thing,um
thing,there's
thing,always
thing,something
thing,do,
thing,um,
thing,that's
thing,pretty
thing,much
thing,*laughter*
really,weather,
really,um
really,there's
really,always
really,something
really,do,
really,um,
really,that's
really,pretty
really,much
really,*laughter*
like,weather,
like,um
like,there's
like,always
like,something
like,do,
like,um,
like,that's
like,pretty
like,much
like,*laughter*
la,weather,
la,um
la,there's
la,always
la,something
la,do,
la,um,
la,that's
la,pretty
la,much
la,*laughter*
weather,,thing
weather,,really
weather,,like
weather,,la
um,thing
um,really
um,like
um,la
there's,thing
there's,really
there's,like
there's,la
always,thing
always,really
always,like
always,la
something,thing
something,really
something,like
something,la
do,,thing
do,,really
do,,like
do,,la
um,,thing
um,,really
um,,like
um,,la
that's,thing
that's,really
that's,like
that's,la
pretty,thing
pretty,really
pretty,like
pretty,la
much,thing
much,really
much,like
much,la
*laughter*,thing
*laughter*,really
*laughter*,like
*laughter*,la
thing,um,
thing,people
thing,tend
thing,little
thing,rude,
thing,um
thing,always
thing,fast
thing,pace
really,um,
really,people
really,tend
really,little
really,rude,
really,um
really,always
really,fast
really,pace
like,um,
like,people
like,tend
like,little
like,rude,
like,um
like,always
like,fast
like,pace
la,um,
la,people
la,tend
la,little
la,rude,
la,um
la,always
la,fast
la,pace
um,,easy
um,,get
um,,used
um,,living
um,,la
people,easy
people,get
people,used
people,living
people,la
tend,easy
tend,get
tend,used
tend,living
tend,la
little,easy
little,get
little,used
little,living
little,la
rude,,easy
rude,,get
rude,,used
rude,,living
rude,,la
