today,well
well,originally
originally,new
originally,york
new,really
york,really
really,turn
really,volume
really,little
really,bit
turn,*laughter*
volume,*laughter*
little,*laughter*
bit,*laughter*
*laughter*,why'd
*laughter*,move
*laughter*,la
why'd,uh
why'd,change,
why'd,yeah
why'd,good,
why'd,wanted
why'd,wanted
move,uh
move,change,
move,yeah
move,good,
move,wanted
move,wanted
la,uh
la,change,
la,yeah
la,good,
la,wanted
la,wanted
uh,when'd
uh,move
uh,la
change,,when'd
change,,move
change,,la
yeah,when'd
yeah,move
yeah,la
good,,when'd
good,,move
good,,la
wanted,when'd
wanted,move
wanted,la
wanted,when'd
wanted,move
wanted,la
when'd,wanted
when'd,see
when'd,los
when'd,angeles
move,wanted
move,see
move,los
move,angeles
la,wanted
la,see
la,los
la,angeles
wanted,easy
wanted,get
wanted,used
wanted,living
wanted,la
see,easy
see,get
see,used
see,living
see,la
los,easy
los,get
los,used
los,living
los,la
angeles,easy
angeles,get
angeles,used
angeles,living
angeles,la
easy,um
easy,probably
easy,took
easy,year
easy,two
get,um
get,probably
get,took
get,year
get,two
used,um
used,probably
used,took
used,year
used,two
living,um
living,probably
living,took
living,year
living,two
la,um
la,probably
la,took
la,year
la,two
um,tell
probably,tell
took,tell
year,tell
two,tell
tell,uh
tell,know
tell,away
tell,family
tell,away
tell,from,
tell,used
tell,new
tell,york
tell,neighborhood
tell,people
tell,getting
tell,acclimated
tell,whole
tell,new
tell,lifestyle
uh,thing
uh,really
uh,like
uh,la
know,thing
know,really
know,like
know,la
away,thing
away,really
away,like
away,la
family,thing
family,really
family,like
family,la
away,thing
away,really
away,like
away,la
from,,thing
from,,really
from,,like
from,,la
used,thing
used,really
used,like
used,la
new,thing
new,really
new,like
new,la
york,thing
york,really
york,like
york,la
neighborhood,thing
neighborhood,really
neighborhood,like
neighborhood,la
people,thing
people,really
people,like
people,la
getting,thing
getting,really
getting,like
getting,la
acclimated,thing
acclimated,really
acclimated,like
acclimated,la
whole,thing
whole,really
whole,like
whole,la
new,thing
new,really
new,like
new,la
lifestyle,thing
lifestyle,really
lifestyle,like
