today,alright
alright,originally
originally,uh
originally,new
originally,york
originally,state
uh,why'd
uh,move
uh,la
new,why'd
new,move
new,la
york,why'd
york,move
york,la
state,why'd
state,move
state,la
why'd,um
why'd,girlfriend
move,um
move,girlfriend
la,um
la,girlfriend
um,when'd
um,move
um,la
girlfriend,when'd
girlfriend,move
girlfriend,la
when'd,month
when'd,ago
move,month
move,ago
la,month
la,ago
month,easy
month,get
month,used
month,living
month,la
ago,easy
ago,get
ago,used
ago,living
ago,la
easy,mm
easy,okay
easy,little
easy,different
easy,working
get,mm
get,okay
get,little
get,different
get,working
used,mm
used,okay
used,little
used,different
used,working
living,mm
living,okay
living,little
living,different
living,working
la,mm
la,okay
la,little
la,different
la,working
mm,thing
mm,really
mm,like
mm,la
okay,thing
okay,really
okay,like
okay,la
little,thing
little,really
little,like
little,la
different,thing
different,really
different,like
different,la
working,thing
working,really
working,like
working,la
thing,uh
thing,weather's
thing,nice
really,uh
really,weather's
really,nice
like,uh
like,weather's
like,nice
la,uh
la,weather's
la,nice
uh,thing
uh,really
uh,like
uh,la
weather's,thing
weather's,really
weather's,like
weather's,la
nice,thing
nice,really
nice,like
nice,la
thing,uh
thing,nothing
thing,far
thing,pretty
thing,good
really,uh
really,nothing
really,far
really,pretty
really,good
like,uh
like,nothing
like,far
like,pretty
like,good
la,uh
la,nothing
la,far
la,pretty
la,good
uh,like
uh,living
uh,situation
nothing,like
nothing,living
nothing,situation
far,like
far,living
far,situation
pretty,like
pretty,living
pretty,situation
good,like
good,living
good,situation
like,working
like,nice
like,yeah
like,real
like,well
like,moment
like,uh
like,real
like,good
like,mean
living,working
living,nice
living,yeah
living,real
living,well
living,moment
living,uh
living,real
living,good
living,mean
situation,working
situation,nice
situation,yeah
situation,real
situation,well
situation,moment
situation,uh
situation,real
situation,good
situation,mean
working,what'd
working,study
working,school
nice,what'd
nice,study
nice,school
yeah,what'd
yeah,study
yeah,school
real,what'd
real,study
real,school
well,what'd
well,study
well,school
moment,what'd
moment,study
moment,school
uh,what'd
uh,study
uh,school
real,what'd
real,study
real,school
good,what'd
good,study
good,school
mean,what'd
mean,study
mean,school
what'd,uh
what'd,criminal
what'd,justice
study,uh
study,criminal
study,justice
school,uh
school,criminal
school,justice
uh,decide
criminal,decide
justice,decide
decide,uh,
decide,wanted
decide,go
decide,one
decide,course
decide,decided
decide,pick
decide,one
uh,,still
uh,,working
wanted,still
wanted,working
go,still
go,working
one,still
one,working
course,still
course,working
decided,still
decided,working
pick,still
pick,working
one,still
one,working
uh,what's
uh,dream
uh,job
certified,what's
certified,dream
certified,job
nurse's,what's
nurse's,dream
nurse's,job
aide,what's
aide,dream
aide,job
what's,know
what's,maybe
what's,nursing
what's,someday
dream,know
dream,maybe
dream,nursing
dream,someday
job,know
job,maybe
job,nursing
job,someday
know,travel
know,lot
maybe,travel
maybe,lot
nursing,travel
nursing,lot
someday,travel
someday,lot
travel,much
lot,much
uh,relax
get,relax
expensive,relax
relax,read
relax,usually
read,thing
read,make
read,really
read,mad
usually,thing
usually,make
usually,really
usually,mad
thing,know
thing,um,
thing,usually
thing,get
thing,real
thing,real
thing,mad
make,know
make,um,
make,usually
make,get
make,real
make,real
make,mad
really,know
really,um,
really,usually
really,get
really,real
really,real
really,mad
mad,know
mad,um,
mad,usually
mad,get
mad,real
mad,real
mad,mad
know,controlling
know,temper
um,,controlling
um,,temper
usually,controlling
usually,temper
get,controlling
get,temper
real,controlling
real,temper
real,controlling
real,temper
mad,controlling
mad,temper
controlling,pretty
controlling,good
controlling,lot
controlling,better
controlling,child
controlling,*laughter*
temper,pretty
temper,good
temper,lot
temper,better
temper,child
temper,*laughter*
pretty,last
pretty,time
pretty,argued
pretty,someone
good,last
good,time
good,argued
good,someone
lot,last
