today,great
great,originally
originally,philadelphia
philadelphia,move
philadelphia,la
move,five
move,year
move,ago
la,five
la,year
la,ago
five,often
five,go
five,back
five,hometown
year,often
year,go
year,back
year,hometown
ago,often
ago,go
ago,back
ago,hometown
often,year
go,year
back,year
hometown,year
year,compare
year,la
tell,la
tell,lot
tell,fun
la,move
la,la
lot,move
lot,la
fun,move
fun,la
move,acting
la,acting
acting,still
still,sure
sure,decide
decide,uh
decide,young
decide,wanted
uh,what's
uh,dream
uh,job
young,what's
young,dream
young,job
wanted,what's
wanted,dream
wanted,job
what's,dream
what's,job,
what's,uh
what's,actor
what's,hbo
what's,series
dream,dream
dream,job,
dream,uh
dream,actor
dream,hbo
dream,series
job,dream
job,job,
job,uh
job,actor
job,hbo
job,series
dream,i'm
dream,sure
dream,tell
dream,shoe
dream,i'm
dream,much
dream,world
dream,explorer
dream,travel
dream,lot
job,,i'm
job,,sure
job,,tell
job,,shoe
job,,i'm
job,,much
job,,world
job,,explorer
job,,travel
job,,lot
uh,i'm
uh,sure
uh,tell
uh,shoe
uh,i'm
uh,much
uh,world
uh,explorer
uh,travel
uh,lot
actor,i'm
actor,sure
actor,tell
actor,shoe
actor,i'm
actor,much
actor,world
actor,explorer
actor,travel
actor,lot
hbo,i'm
hbo,sure
hbo,tell
hbo,shoe
hbo,i'm
hbo,much
hbo,world
hbo,explorer
hbo,travel
hbo,lot
series,i'm
series,sure
series,tell
series,shoe
series,i'm
series,much
series,world
series,explorer
series,travel
series,lot
i'm,moderately
sure,moderately
tell,moderately
shoe,moderately
i'm,moderately
much,moderately
world,moderately
explorer,moderately
travel,moderately
lot,moderately
moderately,enjoy
moderately,traveling
enjoy,meeting
enjoy,new
enjoy,people
enjoy,eating
enjoy,new
enjoy,food
traveling,meeting
traveling,new
traveling,people
traveling,eating
traveling,new
traveling,food
meeting,i'd
meeting,love
meeting,hear
meeting,one
meeting,trip
new,i'd
new,love
new,hear
new,one
new,trip
people,i'd
people,love
people,hear
people,one
people,trip
eating,i'd
eating,love
eating,hear
eating,one
eating,trip
new,i'd
new,love
new,hear
new,one
new,trip
food,i'd
food,love
food,hear
food,one
food,trip
i'd,really
i'd,feel
i'd,like
i'd,talking
love,really
love,feel
love,like
love,talking
hear,really
hear,feel
hear,like
hear,talking
one,really
one,feel
one,like
one,talking
trip,really
trip,feel
trip,like
trip,talking
really,consider
really,shy
really,outgoing
feel,consider
feel,shy
feel,outgoing
like,consider
like,shy
like,outgoing
talking,consider
talking,shy
talking,outgoing
consider,uh
consider,shy
consider,time
consider,could
consider,outgoing
consider,maybe
consider,little
consider,bit
shy,uh
shy,shy
shy,time
shy,could
shy,outgoing
shy,maybe
shy,little
shy,bit
outgoing,uh
outgoing,shy
outgoing,time
outgoing,could
outgoing,outgoing
outgoing,maybe
outgoing,little
outgoing,bit
uh,sometimes
uh,i'm
uh,feeling
uh,tense
uh,turn
uh,fish
uh,tank
uh,screensaver
uh,hey
uh,know
uh,hawaii
uh,best
uh,i've
uh,got
uh,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
time,sometimes
time,i'm
time,feeling
time,tense
time,turn
time,fish
time,tank
time,screensaver
time,hey
time,know
time,hawaii
time,best
time,i've
time,got
time,relax
could,sometimes
could,i'm
could,feeling
could,tense
could,turn
could,fish
could,tank
could,screensaver
could,hey
could,know
could,hawaii
could,best
could,i've
could,got
could,relax
outgoing,sometimes
outgoing,i'm
outgoing,feeling
outgoing,tense
outgoing,turn
outgoing,fish
outgoing,tank
outgoing,screensaver
outgoing,hey
outgoing,know
outgoing,hawaii
outgoing,best
outgoing,i've
outgoing,got
outgoing,relax
maybe,sometimes
maybe,i'm
maybe,feeling
maybe,tense
maybe,turn
maybe,fish
maybe,tank
maybe,screensaver
maybe,hey
maybe,know
maybe,hawaii
maybe,best
maybe,i've
maybe,got
maybe,relax
little,sometimes
little,i'm
little,feeling
little,tense
little,turn
little,fish
little,tank
little,screensaver
little,hey
little,know
little,hawaii
little,best
little,i've
little,got
little,relax
bit,sometimes
bit,i'm
bit,feeling
bit,tense
bit,turn
bit,fish
bit,tank
bit,screensaver
bit,hey
bit,know
bit,hawaii
bit,best
bit,i've
bit,got
bit,relax
sometimes,uh
sometimes,take
sometimes,deep
sometimes,breath
sometimes,maybe
sometimes,reading
i'm,uh
i'm,take
i'm,deep
i'm,breath
i'm,maybe
i'm,reading
feeling,uh
feeling,take
feeling,deep
feeling,breath
feeling,maybe
feeling,reading
tense,uh
tense,take
tense,deep
tense,breath
tense,maybe
tense,reading
turn,uh
turn,take
turn,deep
turn,breath
turn,maybe
turn,reading
fish,uh
fish,take
fish,deep
fish,breath
fish,maybe
fish,reading
tank,uh
tank,take
tank,deep
tank,breath
tank,maybe
tank,reading
screensaver,uh
screensaver,take
screensaver,deep
screensaver,breath
screensaver,maybe
screensaver,reading
hey,uh
hey,take
hey,deep
hey,breath
hey,maybe
hey,reading
know,uh
know,take
know,deep
know,breath
know,maybe
know,reading
hawaii,uh
hawaii,take
hawaii,deep
hawaii,breath
hawaii,maybe
hawaii,reading
best,uh
best,take
best,deep
best,breath
best,maybe
best,reading
i've,uh
i've,take
i've,deep
i've,breath
i've,maybe
i've,reading
got,uh
got,take
got,deep
got,breath
got,maybe
got,reading
relax,uh
relax,take
relax,deep
relax,breath
relax,maybe
relax,reading
uh,controlling
uh,temper
take,controlling
take,temper
deep,controlling
deep,temper
breath,controlling
breath,temper
maybe,controlling
maybe,temper
reading,controlling
reading,temper
controlling,pretty
controlling,good
temper,pretty
temper,good
pretty,last
pretty,time
pretty,argued
pretty,someone
good,last
good,time
good,argued
good,someone
last,uh
last,wow
last,maybe
last,two
last,month
last,ago,
last,brother
last,arguing
last,rent
last,payment
time,uh
time,wow
time,maybe
time,two
time,month
time,ago,
time,brother
time,arguing
time,rent
time,payment
argued,uh
argued,wow
argued,maybe
argued,two
argued,month
argued,ago,
argued,brother
argued,arguing
argued,rent
argued,payment
someone,uh
someone,wow
someone,maybe
someone,two
someone,month
someone,ago,
someone,brother
someone,arguing
someone,rent
someone,payment
uh,suck
wow,suck
maybe,suck
two,suck
month,suck
ago,,suck
brother,suck
arguing,suck
rent,suck
payment,suck
suck,yeah
yeah,tell
yeah,relationship
yeah,family
tell,good
tell,strong
relationship,good
relationship,strong
family,good
family,strong
good,that's
good,good
strong,that's
strong,good
that's,yeah
good,yeah
yeah,what's
yeah,something
yeah,feel
yeah,guilty
what's,uh,
what's,can't
what's,really
what's,say
what's,really
what's,feel
what's,guilty
what's,often
something,uh,
something,can't
something,really
something,say
something,really
something,feel
something,guilty
something,often
feel,uh,
feel,can't
feel,really
feel,say
feel,really
feel,feel
feel,guilty
feel,often
guilty,uh,
guilty,can't
guilty,really
guilty,say
guilty,really
guilty,feel
guilty,guilty
guilty,often
uh,,tell
uh,,event
uh,,something
uh,,wish
uh,,could
uh,,erase
uh,,memory
can't,tell
can't,event
can't,something
can't,wish
can't,could
can't,erase
can't,memory
really,tell
really,event
really,something
really,wish
really,could
really,erase
really,memory
say,tell
say,event
say,something
say,wish
say,could
say,erase
say,memory
really,tell
really,event
really,something
really,wish
really,could
really,erase
really,memory
feel,tell
feel,event
feel,something
feel,wish
feel,could
feel,erase
feel,memory
guilty,tell
guilty,event
guilty,something
guilty,wish
guilty,could
guilty,erase
guilty,memory
often,tell
often,event
often,something
often,wish
often,could
often,erase
often,memory
tell,really
tell,anything
tell,i'd
tell,like
tell,erase
tell,memory
event,really
event,anything
event,i'd
event,like
event,erase
event,memory
something,really
something,anything
something,i'd
something,like
something,erase
something,memory
wish,really
wish,anything
wish,i'd
wish,like
wish,erase
wish,memory
could,really
could,anything
could,i'd
could,like
could,erase
could,memory
erase,really
erase,anything
erase,i'd
erase,like
erase,erase
erase,memory
memory,really
memory,anything
memory,i'd
memory,like
memory,erase
memory,memory
really,thing
really,make
really,really
really,mad
anything,thing
anything,make
anything,really
anything,mad
i'd,thing
i'd,make
i'd,really
i'd,mad
like,thing
like,make
like,really
like,mad
erase,thing
erase,make
erase,really
erase,mad
memory,thing
memory,make
memory,really
memory,mad
thing,huh
thing,make
thing,mad,
thing,ignorance
thing,racism,
thing,thing
thing,like
make,huh
make,make
make,mad,
make,ignorance
make,racism,
make,thing
make,like
really,huh
really,make
really,mad,
really,ignorance
really,racism,
really,thing
really,like
mad,huh
mad,make
mad,mad,
mad,ignorance
mad,racism,
mad,thing
mad,like
huh,tell
huh,situation
huh,wish
huh,handled
huh,differently
make,tell
make,situation
make,wish
make,handled
make,differently
mad,,tell
mad,,situation
mad,,wish
mad,,handled
mad,,differently
ignorance,tell
ignorance,situation
ignorance,wish
ignorance,handled
ignorance,differently
racism,,tell
racism,,situation
racism,,wish
racism,,handled
racism,,differently
thing,tell
thing,situation
thing,wish
thing,handled
thing,differently
like,tell
like,situation
like,wish
like,handled
like,differently
tell,wish
tell,would've
tell,handled
tell,differently,
tell,um,
tell,really
tell,feel
tell,like
tell,discussing
situation,wish
situation,would've
situation,handled
situation,differently,
situation,um,
situation,really
situation,feel
situation,like
situation,discussing
wish,wish
wish,would've
wish,handled
wish,differently,
wish,um,
wish,really
wish,feel
wish,like
wish,discussing
handled,wish
handled,would've
handled,handled
handled,differently,
handled,um,
handled,really
handled,feel
handled,like
handled,discussing
differently,wish
differently,would've
differently,handled
differently,differently,
differently,um,
differently,really
differently,feel
differently,like
differently,discussing
wish,tell
wish,hardest
wish,decision
wish,ever
wish,make
would've,tell
would've,hardest
would've,decision
would've,ever
would've,make
handled,tell
