today,kind
boyfriend,originally
have,,originally
originally,florida
florida,really
really,yep
yep,move
yep,la
move,uh
move,try
move,find
move,work
la,uh
la,try
la,find
la,work
uh,often
uh,go
uh,back
uh,hometown
try,often
try,go
try,back
try,hometown
find,often
find,go
find,back
find,hometown
work,often
work,go
work,back
work,hometown
often,um
often,year
go,um
go,year
back,um
back,year
hometown,um
hometown,year
um,compare
um,la
year,compare
year,la
compare,mm
compare,boring
la,mm
la,boring
mm,easy
mm,get
mm,used
mm,living
mm,la
boring,easy
boring,get
boring,used
boring,living
boring,la
easy,um
easy,easy
get,um
get,easy
used,um
used,easy
living,um
living,easy
la,um
la,easy
um,tell
easy,tell
tell,um
tell,harder
tell,enough
tell,much
tell,money
tell,get
tell,place
tell,live
tell,roommate
um,thing
um,really
um,like
um,la
harder,thing
harder,really
harder,like
harder,la
enough,thing
enough,really
enough,like
enough,la
much,thing
much,really
much,like
much,la
money,thing
money,really
money,like
money,la
get,thing
get,really
get,like
get,la
place,thing
place,really
place,like
place,la
live,thing
live,really
live,like
live,la
roommate,thing
roommate,really
roommate,like
roommate,la
thing,um,
thing,weather,
thing,um
thing,good
thing,scenery
really,um,
really,weather,
really,um
really,good
really,scenery
like,um,
like,weather,
like,um
like,good
like,scenery
la,um,
la,weather,
la,um
la,good
la,scenery
um,,thing
um,,really
um,,like
um,,la
weather,,thing
weather,,really
weather,,like
weather,,la
um,thing
um,really
um,like
um,la
good,thing
good,really
good,like
good,la
scenery,thing
scenery,really
scenery,like
scenery,la
thing,um,
thing,traffic
thing,expensive
thing,place
really,um,
really,traffic
really,expensive
really,place
like,um,
like,traffic
like,expensive
like,place
la,um,
la,traffic
la,expensive
la,place
um,,i'm
um,,sure
um,,tell
um,,shoe
um,,i'm
um,,much
um,,world
um,,explorer
um,,travel
um,,lot
traffic,i'm
traffic,sure
traffic,tell
traffic,shoe
traffic,i'm
traffic,much
traffic,world
traffic,explorer
traffic,travel
traffic,lot
expensive,i'm
expensive,sure
expensive,tell
expensive,shoe
expensive,i'm
expensive,much
expensive,world
expensive,explorer
expensive,travel
expensive,lot
place,i'm
place,sure
place,tell
place,shoe
place,i'm
place,much
place,world
place,explorer
place,travel
place,lot
i'm,much
i'm,want
sure,much
sure,want
tell,much
tell,want
shoe,much
shoe,want
i'm,much
i'm,want
much,much
much,want
world,much
world,want
explorer,much
explorer,want
travel,much
travel,want
lot,much
lot,want
much,enjoy
much,traveling
want,enjoy
want,traveling
enjoy,um
enjoy,seeing
enjoy,different
enjoy,place
enjoy,different
enjoy,culture
enjoy,building
enjoy,food
enjoy,stuff
traveling,um
traveling,seeing
traveling,different
traveling,place
traveling,different
traveling,culture
traveling,building
traveling,food
traveling,stuff
um,i'd
um,love
um,hear
um,one
um,trip
seeing,i'd
seeing,love
seeing,hear
seeing,one
seeing,trip
different,i'd
different,love
different,hear
different,one
different,trip
place,i'd
place,love
place,hear
place,one
place,trip
different,i'd
different,love
different,hear
different,one
different,trip
culture,i'd
culture,love
culture,hear
culture,one
culture,trip
building,i'd
building,love
building,hear
building,one
building,trip
food,i'd
food,love
food,hear
food,one
food,trip
stuff,i'd
stuff,love
stuff,hear
stuff,one
stuff,trip
i'd,um
i'd,let's
i'd,see
i'd,okay
i'd,um
i'd,grew
i'd,florida
i'd,so,
i'd,guess
i'd,that's,
i'd,probably
i'd,um
i'd,drove
i'd,south
i'd,went
i'd,alabama,
i'd,um
i'd,people
i'd,nicer
i'd,louisiana
i'd,people
i'd,really
i'd,nice
i'd,mississippi,
i'd,texas
i'd,new
i'd,mexico,
i'd,mexico
i'd,arizona
i'd,california
i'd,got
i'd,see
i'd,country
i'd,little
i'd,bit
love,um
love,let's
love,see
love,okay
love,um
love,grew
love,florida
love,so,
love,guess
love,that's,
love,probably
love,um
love,drove
love,south
love,went
love,alabama,
love,um
love,people
love,nicer
love,louisiana
love,people
love,really
love,nice
love,mississippi,
love,texas
love,new
love,mexico,
love,mexico
love,arizona
love,california
love,got
love,see
love,country
love,little
love,bit
hear,um
hear,let's
hear,see
hear,okay
hear,um
hear,grew
hear,florida
hear,so,
hear,guess
hear,that's,
hear,probably
hear,um
hear,drove
hear,south
hear,went
hear,alabama,
hear,um
hear,people
hear,nicer
hear,louisiana
hear,people
hear,really
hear,nice
hear,mississippi,
hear,texas
hear,new
hear,mexico,
hear,mexico
hear,arizona
hear,california
hear,got
hear,see
hear,country
hear,little
hear,bit
one,um
one,let's
one,see
one,okay
one,um
one,grew
one,florida
one,so,
one,guess
one,that's,
one,probably
one,um
one,drove
one,south
one,went
one,alabama,
one,um
one,people
one,nicer
one,louisiana
one,people
one,really
one,nice
one,mississippi,
one,texas
one,new
one,mexico,
one,mexico
one,arizona
one,california
one,got
one,see
one,country
one,little
one,bit
trip,um
trip,let's
trip,see
trip,okay
trip,um
trip,grew
trip,florida
trip,so,
trip,guess
trip,that's,
trip,probably
trip,um
trip,drove
trip,south
trip,went
trip,alabama,
trip,um
trip,people
trip,nicer
trip,louisiana
trip,people
trip,really
trip,nice
trip,mississippi,
trip,texas
trip,new
trip,mexico,
trip,mexico
trip,arizona
trip,california
trip,got
trip,see
trip,country
trip,little
trip,bit
um,what's
um,one
um,memorable
um,experience
let's,what's
let's,one
let's,memorable
let's,experience
see,what's
see,one
see,memorable
see,experience
okay,what's
okay,one
okay,memorable
okay,experience
um,what's
um,one
um,memorable
um,experience
grew,what's
grew,one
grew,memorable
grew,experience
florida,what's
florida,one
florida,memorable
florida,experience
so,,what's
so,,one
so,,memorable
so,,experience
guess,what's
guess,one
guess,memorable
guess,experience
that's,,what's
that's,,one
that's,,memorable
that's,,experience
probably,what's
probably,one
probably,memorable
probably,experience
um,what's
um,one
um,memorable
um,experience
drove,what's
drove,one
drove,memorable
drove,experience
south,what's
south,one
south,memorable
south,experience
went,what's
went,one
went,memorable
went,experience
alabama,,what's
alabama,,one
alabama,,memorable
alabama,,experience
um,what's
um,one
um,memorable
um,experience
people,what's
people,one
people,memorable
people,experience
nicer,what's
nicer,one
nicer,memorable
nicer,experience
louisiana,what's
louisiana,one
louisiana,memorable
louisiana,experience
people,what's
people,one
people,memorable
people,experience
really,what's
really,one
really,memorable
really,experience
nice,what's
nice,one
nice,memorable
nice,experience
mississippi,,what's
mississippi,,one
mississippi,,memorable
mississippi,,experience
texas,what's
texas,one
texas,memorable
texas,experience
new,what's
new,one
new,memorable
new,experience
mexico,,what's
mexico,,one
mexico,,memorable
mexico,,experience
mexico,what's
mexico,one
mexico,memorable
mexico,experience
arizona,what's
arizona,one
arizona,memorable
arizona,experience
california,what's
california,one
california,memorable
california,experience
got,what's
got,one
got,memorable
got,experience
see,what's
see,one
see,memorable
see,experience
country,what's
country,one
country,memorable
country,experience
little,what's
little,one
little,memorable
little,experience
bit,what's
bit,one
bit,memorable
bit,experience
what's,guess
what's,traveling
what's,country
what's,went
what's,loiusiana
what's,people
what's,really
what's,nice
what's,small
what's,town
what's,called
what's,jennings,
what's,people
what's,always
what's,happy
what's,know
what's,fun
what's,funny
one,guess
one,traveling
one,country
one,went
one,loiusiana
one,people
one,really
one,nice
one,small
one,town
one,called
one,jennings,
one,people
one,always
one,happy
one,know
one,fun
one,funny
memorable,guess
memorable,traveling
memorable,country
memorable,went
memorable,loiusiana
memorable,people
memorable,really
memorable,nice
memorable,small
memorable,town
memorable,called
memorable,jennings,
memorable,people
memorable,always
memorable,happy
memorable,know
memorable,fun
memorable,funny
experience,guess
experience,traveling
experience,country
experience,went
experience,loiusiana
experience,people
experience,really
experience,nice
experience,small
experience,town
experience,called
experience,jennings,
experience,people
experience,always
experience,happy
experience,know
experience,fun
experience,funny
guess,study
guess,school
traveling,study
traveling,school
country,study
country,school
went,study
went,school
loiusiana,study
loiusiana,school
people,study
people,school
really,study
really,school
nice,study
nice,school
small,study
small,school
town,study
town,school
called,study
called,school
jennings,,study
jennings,,school
people,study
people,school
always,study
always,school
happy,study
happy,school
know,study
know,school
fun,study
fun,school
funny,study
funny,school
study,um
study,went
study,high
study,school,
study,basic
study,stuff
school,um
school,went
school,high
school,school,
school,basic
school,stuff
um,what's
um,dream
um,job
went,what's
went,dream
went,job
high,what's
high,dream
high,job
school,,what's
school,,dream
school,,job
