today,okay,
today,not,
today,bad
okay,,originally
not,,originally
bad,originally
originally,i'm
originally,chicago,
originally,south
originally,side
i'm,move
i'm,la
chicago,,move
chicago,,la
south,move
south,la
side,move
side,la
move,um
move,back
move,nineteen
move,seventy
move,eight,
move,eighteen
la,um
la,back
la,nineteen
la,seventy
la,eight,
la,eighteen
um,that's
um,long
um,time
back,that's
back,long
back,time
nineteen,that's
nineteen,long
nineteen,time
seventy,that's
seventy,long
seventy,time
eight,,that's
eight,,long
eight,,time
eighteen,that's
eighteen,long
eighteen,time
that's,yes
long,yes
time,yes
yes,often
yes,go
yes,back
yes,hometown
often,lately,
often,much
often,maybe
often,every
often,two
often,three
often,year
go,lately,
go,much
go,maybe
go,every
go,two
go,three
go,year
back,lately,
back,much
back,maybe
back,every
back,two
back,three
back,year
hometown,lately,
hometown,much
hometown,maybe
hometown,every
hometown,two
hometown,three
hometown,year
lately,,compare
lately,,la
much,compare
much,la
maybe,compare
maybe,la
every,compare
every,la
two,compare
two,la
three,compare
three,la
year,compare
year,la
compare,um
compare,totally
compare,different
compare,know,
compare,horrible
compare,weather
compare,uh,
compare,yeah
compare,whole
compare,different
compare,atmosphere
la,um
la,totally
la,different
la,know,
la,horrible
la,weather
la,uh,
la,yeah
la,whole
la,different
la,atmosphere
um,move
um,la
totally,move
totally,la
different,move
different,la
know,,move
know,,la
horrible,move
horrible,la
weather,move
weather,la
uh,,move
uh,,la
yeah,move
yeah,la
whole,move
whole,la
different,move
different,la
atmosphere,move
atmosphere,la
move,um,
move,let's
move,see
move,mother
move,moved
move,africa,
move,graduated
move,high
move,school,
move,friend
move,thought
move,well
move,let
move,try
move,la
la,um,
la,let's
la,see
la,mother
la,moved
la,africa,
la,graduated
la,high
la,school,
la,friend
la,thought
la,well
la,let
la,try
la,la
um,,easy
um,,get
um,,used
um,,living
um,,la
let's,easy
let's,get
let's,used
let's,living
let's,la
see,easy
see,get
see,used
see,living
see,la
mother,easy
mother,get
mother,used
mother,living
mother,la
moved,easy
moved,get
moved,used
moved,living
moved,la
africa,,easy
africa,,get
africa,,used
africa,,living
africa,,la
graduated,easy
graduated,get
graduated,used
graduated,living
graduated,la
high,easy
high,get
high,used
high,living
high,la
school,,easy
school,,get
school,,used
school,,living
school,,la
friend,easy
friend,get
friend,used
friend,living
friend,la
thought,easy
thought,get
thought,used
thought,living
thought,la
well,easy
well,get
well,used
well,living
well,la
let,easy
let,get
let,used
let,living
let,la
try,easy
try,get
try,used
try,living
try,la
la,easy
la,get
la,used
la,living
la,la
easy,uh
easy,easy
easy,actually
easy,yeah
easy,loved
easy,moment
easy,got
easy,airplane,
easy,yeah
get,uh
get,easy
get,actually
get,yeah
get,loved
get,moment
get,got
get,airplane,
get,yeah
used,uh
used,easy
used,actually
used,yeah
used,loved
used,moment
used,got
used,airplane,
used,yeah
living,uh
living,easy
living,actually
living,yeah
living,loved
living,moment
living,got
living,airplane,
living,yeah
la,uh
la,easy
la,actually
la,yeah
la,loved
la,moment
la,got
la,airplane,
la,yeah
uh,thing
uh,really
uh,like
uh,la
easy,thing
easy,really
easy,like
easy,la
actually,thing
actually,really
actually,like
actually,la
yeah,thing
yeah,really
yeah,like
yeah,la
loved,thing
loved,really
loved,like
loved,la
moment,thing
moment,really
moment,like
moment,la
got,thing
got,really
got,like
got,la
airplane,,thing
airplane,,really
airplane,,like
airplane,,la
yeah,thing
yeah,really
yeah,like
yeah,la
thing,number
thing,one
thing,weather,
thing,um
thing,sun
thing,important
thing,me,
thing,love
thing,weather,
thing,um
thing,know
thing,kind
thing,laid
thing,back
thing,atmosphere,
thing,variety,
thing,people
really,number
really,one
really,weather,
really,um
really,sun
really,important
really,me,
really,love
really,weather,
really,um
really,know
really,kind
really,laid
really,back
really,atmosphere,
really,variety,
really,people
like,number
like,one
like,weather,
like,um
like,sun
like,important
like,me,
like,love
like,weather,
like,um
like,know
like,kind
like,laid
like,back
like,atmosphere,
like,variety,
like,people
la,number
