today,good
good,originally
originally,indiana
indiana,move
indiana,la
move,um
move,weather
move,like
move,weather
la,um
la,weather
la,like
la,weather
um,often
um,go
um,back
um,hometown
weather,often
weather,go
weather,back
weather,hometown
like,often
like,go
like,back
like,hometown
weather,often
weather,go
weather,back
weather,hometown
often,uh
often,never
go,uh
go,never
back,uh
back,never
hometown,uh
hometown,never
um,,easy
um,,get
um,,used
um,,living
um,,la
wanna,easy
wanna,get
wanna,used
wanna,living
wanna,la
get,easy
get,get
get,used
get,living
get,la
back,easy
back,get
back,used
back,living
back,la
old,easy
old,get
old,used
old,living
old,la
groove,easy
groove,get
groove,used
groove,living
groove,la
easy,took
easy,time
easy,took
easy,long
easy,time
easy,took
easy,years,
easy,yeah
get,took
get,time
get,took
get,long
get,time
get,took
get,years,
get,yeah
used,took
used,time
used,took
used,long
used,time
used,took
used,years,
used,yeah
living,took
living,time
living,took
living,long
living,time
living,took
living,years,
living,yeah
la,took
la,time
la,took
la,long
la,time
la,took
la,years,
la,yeah
took,thing
took,really
took,like
took,la
time,thing
time,really
time,like
time,la
took,thing
took,really
took,like
took,la
long,thing
long,really
long,like
long,la
time,thing
time,really
time,like
time,la
took,thing
took,really
took,like
took,la
years,,thing
years,,really
years,,like
years,,la
yeah,thing
yeah,really
yeah,like
yeah,la
thing,um,
thing,get
thing,cold,
thing,um,
thing,i'm
thing,comfortable
thing,uh
thing,environment,
thing,midwest
really,um,
really,get
really,cold,
really,um,
really,i'm
really,comfortable
really,uh
really,environment,
really,midwest
like,um,
like,get
like,cold,
like,um,
like,i'm
like,comfortable
like,uh
like,environment,
like,midwest
la,um,
la,get
la,cold,
la,um,
la,i'm
la,comfortable
la,uh
la,environment,
la,midwest
um,,thing
um,,really
um,,like
um,,la
get,thing
get,really
get,like
get,la
cold,,thing
cold,,really
cold,,like
cold,,la
um,,thing
um,,really
um,,like
um,,la
i'm,thing
i'm,really
i'm,like
i'm,la
comfortable,thing
comfortable,really
comfortable,like
comfortable,la
uh,thing
uh,really
uh,like
uh,la
environment,,thing
environment,,really
environment,,like
environment,,la
midwest,thing
midwest,really
midwest,like
midwest,la
thing,uh
thing,smog
thing,uh
thing,crowds,
thing,um
thing,dirt,
thing,um,
thing,mm,
thing,hustle
really,uh
really,smog
really,uh
really,crowds,
really,um
really,dirt,
really,um,
really,mm,
really,hustle
like,uh
like,smog
like,uh
like,crowds,
like,um
like,dirt,
like,um,
like,mm,
like,hustle
la,uh
la,smog
la,uh
la,crowds,
la,um
la,dirt,
la,um,
la,mm,
la,hustle
uh,see
uh,mean
smog,see
smog,mean
uh,see
uh,mean
crowds,,see
crowds,,mean
um,see
um,mean
dirt,,see
dirt,,mean
um,,see
um,,mean
mm,,see
mm,,mean
hustle,see
hustle,mean
see,yeah
mean,yeah
yeah,i'm
yeah,sure
yeah,tell
yeah,shoe
yeah,i'm
yeah,much
yeah,world
yeah,explorer
yeah,travel
yeah,lot
i'm,no,
sure,no,
tell,no,
shoe,no,
i'm,no,
much,no,
world,no,
explorer,no,
travel,no,
lot,no,
uh,understand
money,understand
take,understand
uh,,understand
take,understand
lot,understand
money,understand
credit,understand
card,understand
understand,yeah
yeah,study
yeah,school
study,uh
study,basic
study,go
study,long
study,*sigh*
study,uh
school,uh
school,basic
school,go
school,long
school,*sigh*
school,uh
uh,what's
uh,dream
uh,job
basic,what's
basic,dream
basic,job
go,what's
go,dream
go,job
long,what's
long,dream
long,job
*sigh*,what's
*sigh*,dream
*sigh*,job
uh,what's
uh,dream
uh,job
what's,dream,
what's,uh
what's,dream
what's,job
what's,um,
what's,developing
what's,land,
what's,yeah
dream,dream,
dream,uh
dream,dream
dream,job
dream,um,
dream,developing
dream,land,
dream,yeah
job,dream,
job,uh
job,dream
job,job
job,um,
job,developing
job,land,
job,yeah
dream,,okay
uh,okay
dream,okay
job,okay
um,,okay
developing,okay
land,,okay
yeah,okay
okay,building
okay,high-rise
okay,building
building,consider
building,shy
building,outgoing
high-rise,consider
high-rise,shy
high-rise,outgoing
building,consider
building,shy
building,outgoing
consider,probably
consider,middle
shy,probably
shy,middle
outgoing,probably
outgoing,middle
uh,sometimes
uh,i'm
uh,feeling
uh,tense
uh,turn
uh,fish
uh,tank
uh,screensaver
uh,hey
uh,know
uh,hawaii
uh,best
uh,i've
uh,got
uh,relax
well,sometimes
well,i'm
well,feeling
well,tense
well,turn
well,fish
well,tank
well,screensaver
well,hey
well,know
well,hawaii
well,best
well,i've
well,got
well,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
real,sometimes
real,i'm
real,feeling
real,tense
real,turn
real,fish
real,tank
real,screensaver
real,hey
real,know
real,hawaii
real,best
real,i've
real,got
real,relax
shy,sometimes
shy,i'm
shy,feeling
shy,tense
shy,turn
shy,fish
shy,tank
shy,screensaver
shy,hey
shy,know
shy,hawaii
shy,best
shy,i've
shy,got
shy,relax
uh,sometimes
uh,i'm
uh,feeling
uh,tense
uh,turn
uh,fish
uh,tank
uh,screensaver
uh,hey
uh,know
uh,hawaii
uh,best
uh,i've
uh,got
uh,relax
i'm,sometimes
i'm,i'm
i'm,feeling
i'm,tense
i'm,turn
i'm,fish
i'm,tank
i'm,screensaver
i'm,hey
i'm,know
i'm,hawaii
i'm,best
i'm,i've
i'm,got
i'm,relax
really,sometimes
really,i'm
really,feeling
really,tense
really,turn
really,fish
really,tank
really,screensaver
really,hey
really,know
really,hawaii
really,best
really,i've
really,got
really,relax
outgoing,,sometimes
outgoing,,i'm
outgoing,,feeling
outgoing,,tense
outgoing,,turn
outgoing,,fish
outgoing,,tank
outgoing,,screensaver
outgoing,,hey
outgoing,,know
outgoing,,hawaii
outgoing,,best
outgoing,,i've
outgoing,,got
outgoing,,relax
i'd,sometimes
i'd,i'm
i'd,feeling
i'd,tense
i'd,turn
i'd,fish
i'd,tank
i'd,screensaver
i'd,hey
i'd,know
i'd,hawaii
i'd,best
i'd,i've
i'd,got
i'd,relax
say,sometimes
say,i'm
say,feeling
say,tense
say,turn
say,fish
say,tank
say,screensaver
say,hey
say,know
say,hawaii
say,best
say,i've
say,got
say,relax
uh,sometimes
uh,i'm
uh,feeling
uh,tense
uh,turn
uh,fish
uh,tank
uh,screensaver
uh,hey
uh,know
uh,hawaii
uh,best
uh,i've
uh,got
uh,relax
fifty,sometimes
fifty,i'm
fifty,feeling
fifty,tense
fifty,turn
fifty,fish
fifty,tank
fifty,screensaver
fifty,hey
