okay,yes
yes,today
today,i'm
today,good
i'm,originally
good,originally
originally,uh
originally,born
originally,hawaii
originally,grew
originally,colorado
uh,really
born,really
hawaii,really
grew,really
colorado,really
really,yeah,
really,yeah
yeah,,move
yeah,,la
yeah,move
yeah,la
move,seven
move,uh
move,seven
move,eight
move,year
move,ago
la,seven
la,uh
la,seven
la,eight
la,year
la,ago
seven,often
seven,go
seven,back
seven,hometown
uh,often
uh,go
uh,back
uh,hometown
seven,often
seven,go
seven,back
seven,hometown
eight,often
eight,go
eight,back
eight,hometown
year,often
year,go
year,back
year,hometown
ago,often
ago,go
ago,back
ago,hometown
often,um
often,try
often,go
often,back
often,year
often,twice
often,year
go,um
go,try
go,go
go,back
go,year
go,twice
go,year
back,um
back,try
back,go
back,back
back,year
back,twice
back,year
hometown,um
hometown,try
hometown,go
hometown,back
hometown,year
hometown,twice
hometown,year
um,mhm
try,mhm
go,mhm
back,mhm
year,mhm
twice,mhm
year,mhm
mhm,yeah
yeah,compare
yeah,la
compare,um
compare,it's,
compare,compare
compare,la
compare,um
compare,it's,
compare,different
compare,busy,
compare,there's
compare,uh
compare,thing
compare,outdoors
compare,mountains,
compare,uh
compare,family
la,um
la,it's,
la,compare
la,la
la,um
la,it's,
la,different
la,busy,
la,there's
la,uh
la,thing
la,outdoors
la,mountains,
la,uh
la,family
um,move
um,la
it's,,move
it's,,la
compare,move
compare,la
la,move
la,la
um,move
um,la
it's,,move
it's,,la
different,move
different,la
busy,,move
busy,,la
there's,move
there's,la
uh,move
uh,la
thing,move
thing,la
outdoors,move
outdoors,la
mountains,,move
mountains,,la
uh,move
uh,la
family,move
family,la
move,work
la,work
work,happy
happy,yeah
happy,love
yeah,easy
yeah,get
yeah,used
yeah,living
yeah,la
love,easy
love,get
love,used
love,living
love,la
easy,um
easy,took
easy,year
easy,really
easy,felt
easy,comfortable
easy,but,
easy,um,
easy,got
easy,kinda
easy,hard
easy,year
easy,pretty
easy,good
easy,i've
easy,good
easy,time
get,um
get,took
get,year
get,really
get,felt
get,comfortable
get,but,
get,um,
get,got
get,kinda
get,hard
get,year
get,pretty
get,good
get,i've
get,good
get,time
used,um
used,took
used,year
used,really
used,felt
used,comfortable
used,but,
used,um,
used,got
used,kinda
used,hard
used,year
used,pretty
used,good
used,i've
used,good
used,time
living,um
living,took
living,year
living,really
living,felt
living,comfortable
living,but,
living,um,
living,got
living,kinda
living,hard
living,year
living,pretty
living,good
living,i've
living,good
living,time
la,um
la,took
la,year
la,really
la,felt
la,comfortable
la,but,
la,um,
la,got
la,kinda
la,hard
la,year
la,pretty
la,good
la,i've
la,good
la,time
um,thing
um,really
um,like
um,la
took,thing
took,really
took,like
took,la
year,thing
year,really
year,like
year,la
really,thing
really,really
really,like
really,la
felt,thing
felt,really
felt,like
felt,la
comfortable,thing
comfortable,really
comfortable,like
comfortable,la
but,,thing
but,,really
but,,like
but,,la
um,,thing
um,,really
um,,like
um,,la
got,thing
got,really
got,like
got,la
kinda,thing
kinda,really
kinda,like
kinda,la
hard,thing
hard,really
hard,like
hard,la
year,thing
year,really
year,like
year,la
pretty,thing
pretty,really
pretty,like
pretty,la
good,thing
good,really
good,like
good,la
i've,thing
i've,really
i've,like
i've,la
good,thing
good,really
good,like
good,la
time,thing
time,really
time,like
time,la
thing,um
thing,i,
thing,love
thing,go
thing,beach,
thing,uh
thing,love
thing,warm
thing,time,
thing,uh
thing,love
thing,i've
thing,met
thing,lot
thing,people
thing,love
thing,art
thing,much
really,um
really,i,
really,love
really,go
really,beach,
really,uh
really,love
really,warm
really,time,
really,uh
really,love
really,i've
really,met
really,lot
really,people
really,love
really,art
really,much
like,um
like,i,
like,love
like,go
like,beach,
like,uh
like,love
like,warm
like,time,
like,uh
like,love
like,i've
like,met
like,lot
like,people
like,love
like,art
like,much
la,um
la,i,
la,love
la,go
la,beach,
la,uh
la,love
la,warm
la,time,
la,uh
la,love
la,i've
la,met
la,lot
la,people
la,love
la,art
la,much
um,thing
um,really
um,like
um,la
i,,thing
i,,really
i,,like
i,,la
love,thing
love,really
love,like
love,la
go,thing
go,really
go,like
go,la
beach,,thing
beach,,really
beach,,like
beach,,la
uh,thing
uh,really
uh,like
uh,la
love,thing
love,really
love,like
love,la
warm,thing
warm,really
warm,like
warm,la
time,,thing
time,,really
time,,like
time,,la
uh,thing
uh,really
uh,like
uh,la
love,thing
love,really
love,like
love,la
i've,thing
i've,really
i've,like
i've,la
met,thing
met,really
met,like
met,la
lot,thing
lot,really
lot,like
lot,la
people,thing
people,really
people,like
people,la
love,thing
love,really
love,like
love,la
art,thing
art,really
art,like
art,la
much,thing
much,really
much,like
much,la
thing,traffic
thing,like
thing,everyone
thing,else,
thing,um
really,traffic
really,like
really,everyone
really,else,
really,um
like,traffic
like,like
like,everyone
like,else,
like,um
la,traffic
la,like
la,everyone
la,else,
la,um
traffic,see
traffic,mean
like,see
like,mean
everyone,see
everyone,mean
else,,see
else,,mean
um,see
um,mean
see,yeah,
see,yeah
see,traffic
see,and,
see,pretty
see,much
see,traffic,
see,earthquake
mean,yeah,
mean,yeah
mean,traffic
mean,and,
mean,pretty
mean,much
mean,traffic,
mean,earthquake
yeah,,i'm
yeah,,sure
yeah,,tell
yeah,,shoe
yeah,,i'm
yeah,,much
yeah,,world
yeah,,explorer
yeah,,travel
yeah,,lot
yeah,i'm
yeah,sure
yeah,tell
yeah,shoe
yeah,i'm
yeah,much
yeah,world
yeah,explorer
yeah,travel
yeah,lot
traffic,i'm
traffic,sure
traffic,tell
traffic,shoe
traffic,i'm
traffic,much
traffic,world
traffic,explorer
traffic,travel
traffic,lot
and,,i'm
and,,sure
and,,tell
and,,shoe
and,,i'm
and,,much
and,,world
and,,explorer
and,,travel
and,,lot
pretty,i'm
pretty,sure
pretty,tell
pretty,shoe
pretty,i'm
pretty,much
pretty,world
pretty,explorer
pretty,travel
pretty,lot
much,i'm
much,sure
much,tell
much,shoe
much,i'm
much,much
much,world
much,explorer
much,travel
much,lot
traffic,,i'm
traffic,,sure
traffic,,tell
traffic,,shoe
traffic,,i'm
traffic,,much
traffic,,world
traffic,,explorer
traffic,,travel
traffic,,lot
earthquake,i'm
earthquake,sure
earthquake,tell
earthquake,shoe
earthquake,i'm
earthquake,much
earthquake,world
earthquake,explorer
earthquake,travel
earthquake,lot
i'm,much
i'm,i'd
i'm,like
sure,much
sure,i'd
sure,like
tell,much
tell,i'd
tell,like
shoe,much
shoe,i'd
shoe,like
i'm,much
i'm,i'd
i'm,like
much,much
much,i'd
much,like
world,much
world,i'd
world,like
explorer,much
explorer,i'd
explorer,like
travel,much
travel,i'd
travel,like
lot,much
lot,i'd
lot,like
much,enjoy
much,traveling
i'd,enjoy
i'd,traveling
like,enjoy
like,traveling
enjoy,um
enjoy,nice
enjoy,go
enjoy,place
enjoy,new,
enjoy,experience
enjoy,something
enjoy,different
traveling,um
traveling,nice
traveling,go
traveling,place
traveling,new,
traveling,experience
traveling,something
traveling,different
um,i'd
um,love
um,hear
um,one
um,trip
nice,i'd
nice,love
nice,hear
nice,one
nice,trip
go,i'd
go,love
go,hear
go,one
go,trip
place,i'd
place,love
place,hear
place,one
place,trip
new,,i'd
new,,love
new,,hear
new,,one
new,,trip
experience,i'd
experience,love
experience,hear
experience,one
experience,trip
something,i'd
something,love
something,hear
something,one
something,trip
different,i'd
different,love
different,hear
different,one
different,trip
i'd,um
i'd,went
i'd,alaska
i'd,couple
i'd,year
i'd,ago
i'd,really
i'd,awesome,
i'd,got
i'd,go
i'd,fishing
i'd,ocean
i'd,got
i'd,seasick
i'd,awesome
i'd,uh,
i'd,cool
i'd,saw
i'd,bear
i'd,real
i'd,life
i'd,bear
i'd,walked
i'd,yard,
i'd,um
i'd,really
i'd,different
i'd,la
i'd,really
i'd,cool
love,um
love,went
love,alaska
love,couple
love,year
love,ago
love,really
love,awesome,
love,got
love,go
love,fishing
love,ocean
love,got
love,seasick
love,awesome
love,uh,
love,cool
love,saw
love,bear
love,real
love,life
love,bear
love,walked
love,yard,
love,um
love,really
love,different
love,la
love,really
love,cool
hear,um
hear,went
hear,alaska
hear,couple
hear,year
hear,ago
hear,really
hear,awesome,
hear,got
hear,go
hear,fishing
hear,ocean
hear,got
hear,seasick
hear,awesome
hear,uh,
hear,cool
hear,saw
hear,bear
hear,real
hear,life
hear,bear
hear,walked
hear,yard,
hear,um
hear,really
hear,different
hear,la
hear,really
hear,cool
one,um
one,went
one,alaska
one,couple
one,year
one,ago
one,really
one,awesome,
one,got
one,go
one,fishing
one,ocean
one,got
one,seasick
one,awesome
one,uh,
one,cool
one,saw
one,bear
one,real
one,life
one,bear
one,walked
one,yard,
one,um
one,really
one,different
one,la
one,really
one,cool
trip,um
trip,went
trip,alaska
trip,couple
trip,year
trip,ago
trip,really
trip,awesome,
trip,got
trip,go
trip,fishing
trip,ocean
trip,got
trip,seasick
trip,awesome
trip,uh,
trip,cool
trip,saw
trip,bear
trip,real
trip,life
trip,bear
trip,walked
trip,yard,
trip,um
trip,really
trip,different
trip,la
trip,really
trip,cool
um,nice
went,nice
alaska,nice
couple,nice
year,nice
ago,nice
really,nice
awesome,,nice
got,nice
go,nice
fishing,nice
ocean,nice
got,nice
seasick,nice
awesome,nice
uh,,nice
cool,nice
saw,nice
bear,nice
real,nice
life,nice
bear,nice
walked,nice
yard,,nice
um,nice
really,nice
different,nice
la,nice
really,nice
cool,nice
nice,*laughter*
*laughter*,study
*laughter*,school
study,english
study,creative
study,writing
school,english
school,creative
school,writing
english,decide
creative,decide
writing,decide
decide,well
decide,always
decide,wanted
decide,tell
decide,story
decide,so,
decide,made
decide,sense
decide,work
decide,writing
decide,somehow
decide,aspect
well,still
well,working
always,still
always,working
wanted,still
wanted,working
tell,still
tell,working
story,still
story,working
so,,still
so,,working
made,still
made,working
sense,still
sense,working
work,still
work,working
